# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.25000000e-01
# lRef          : 1.20000000e-02
# Aref          : 1.20000000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0011576264    	1.38302242e+02	6.91512139e+01	6.91510282e+01	-1.02896512e+00	-5.14940348e-01	-5.14024769e-01	-4.57789549e-04	9.28544764e-05	-5.33389786e-04	5.05782619e-06	-5.30860872e-04	5.35918699e-04
0.0022844849    	-5.95927930e+01	-2.97964486e+01	-2.97963444e+01	5.24079827e-01	2.61577175e-01	2.62502651e-01	-4.62738030e-04	-5.21422586e-05	2.82584480e-04	3.67142162e-06	2.84420191e-04	-2.80748770e-04
0.0034030332    	4.86851282e+00	2.43427506e+00	2.43423776e+00	-6.54360149e-03	-3.57225761e-03	-2.97134388e-03	-3.00456866e-04	1.86537541e-05	-1.21215131e-04	9.54013418e-07	-1.20738124e-04	1.21692138e-04
0.0045200778    	3.48519044e+00	1.74259414e+00	1.74259630e+00	2.23143013e-05	-2.02463919e-04	2.24778221e-04	-2.13621070e-04	-1.08150814e-06	3.85445481e-06	-9.74686625e-07	3.36711149e-06	-4.34179812e-06
0.0056419463    	3.20569282e+00	1.60284690e+00	1.60284592e+00	6.89739314e-04	1.74661387e-04	5.15077927e-04	-1.70208270e-04	4.86654502e-07	8.86163566e-07	-1.75471946e-06	8.80383372e-09	-1.76352330e-06
0.0067756362    	2.97577425e+00	1.48788742e+00	1.48788682e+00	8.05952987e-04	2.55336448e-04	5.50616539e-04	-1.47640046e-04	2.98758970e-07	8.79696867e-07	-1.98350034e-06	-1.12053303e-07	-1.87144704e-06
0.0079235361    	2.77833432e+00	1.38916769e+00	1.38916662e+00	7.83504226e-04	2.56413598e-04	5.27090629e-04	-1.35338516e-04	5.35100314e-07	8.72759021e-07	-1.98265052e-06	-1.18566237e-07	-1.86408428e-06
0.0090826193    	2.61156241e+00	1.30578163e+00	1.30578078e+00	7.15326646e-04	2.29587293e-04	4.85739352e-04	-1.28076029e-04	4.26139113e-07	2.95882496e-07	-1.88448141e-06	-6.46358209e-07	-1.23812320e-06
0.010249073     	2.47082744e+00	1.23541414e+00	1.23541330e+00	6.32050332e-04	1.92970416e-04	4.39079916e-04	-1.23054750e-04	4.17464983e-07	4.17858899e-07	-1.74020044e-06	-4.52241319e-07	-1.28795912e-06
0.011423099     	2.35151171e+00	1.17575607e+00	1.17575564e+00	5.61931601e-04	1.62103508e-04	3.99828093e-04	-1.18862292e-04	2.14690595e-07	3.09948391e-07	-1.58052431e-06	-4.80313765e-07	-1.10021055e-06
0.012605716     	2.24966500e+00	1.12483266e+00	1.12483234e+00	4.97450386e-04	1.33782698e-04	3.63667687e-04	-1.14942495e-04	1.60030766e-07	1.11223282e-07	-1.42393111e-06	-6.00742274e-07	-8.23188838e-07
0.013797567     	2.16220093e+00	1.08110044e+00	1.08110049e+00	4.19831246e-04	9.87631931e-05	3.21068053e-04	-1.11152430e-04	-2.52154375e-08	1.54880554e-07	-1.27317245e-06	-4.81705668e-07	-7.91466777e-07
0.014999004     	2.08644027e+00	1.04322014e+00	1.04322012e+00	3.80072947e-04	8.25699018e-05	2.97503045e-04	-1.07466571e-04	1.01079496e-08	7.28899246e-08	-1.13820742e-06	-4.96213784e-07	-6.41993634e-07
0.016210171     	2.02035713e+00	1.01017855e+00	1.01017858e+00	3.43855630e-04	6.80129149e-05	2.75842715e-04	-1.03914900e-04	-1.40468988e-08	3.82234980e-08	-1.01316334e-06	-4.68358174e-07	-5.44805170e-07
0.017431061     	1.96238648e+00	9.81193258e-01	9.81193217e-01	2.94223368e-04	4.65957340e-05	2.47627634e-04	-1.00515950e-04	2.04732585e-08	-1.26728727e-09	-8.89511785e-07	-4.46023180e-07	-4.43488605e-07
0.018661564     	1.91132334e+00	9.55661513e-01	9.55661830e-01	2.76231167e-04	4.08588289e-05	2.35372338e-04	-9.72567545e-05	-1.58104051e-07	4.02944180e-08	-7.94286883e-07	-3.56849023e-07	-4.37437859e-07
0.019901498     	1.86596859e+00	9.32984223e-01	9.32984369e-01	2.47359405e-04	2.95349675e-05	2.17824438e-04	-9.41447351e-05	-7.32146462e-08	1.11575202e-07	-7.10346330e-07	-2.43597963e-07	-4.66748367e-07
0.021150634     	1.82565197e+00	9.12825819e-01	9.12826151e-01	2.17239445e-04	1.74511506e-05	1.99788295e-04	-9.11685720e-05	-1.65911294e-07	4.96166874e-08	-6.40893865e-07	-2.70830245e-07	-3.70063620e-07
0.022408707     	1.78964004e+00	8.94819896e-01	8.94820148e-01	3.01423564e-05	-7.32439091e-05	1.03386265e-04	-8.83150873e-05	-1.25724651e-07	-3.12409010e-08	-5.65864964e-07	-3.14173383e-07	-2.51691581e-07
0.023675435     	1.75730297e+00	8.78651217e-01	8.78651750e-01	4.09211922e-04	1.18984408e-04	2.90227514e-04	-8.56215527e-05	-2.66632417e-07	5.83450639e-09	-4.97570781e-07	-2.42950884e-07	-2.54619897e-07
0.02495052      	1.72864357e+00	8.64321734e-01	8.64321832e-01	1.33700354e-04	-1.61106698e-05	1.49811024e-04	-8.29608469e-05	-4.88413270e-08	-3.32187165e-08	-4.41623577e-07	-2.54030505e-07	-1.87593072e-07
0.026233647     	1.70245778e+00	8.51228777e-01	8.51228998e-01	1.05335558e-04	-2.77915464e-05	1.33127104e-04	-8.04593253e-05	-1.10466090e-07	4.80343813e-08	-3.98331398e-07	-1.51131318e-07	-2.47200080e-07
0.027524503     	1.67919724e+00	8.39598429e-01	8.39598810e-01	1.30046370e-04	-1.31621179e-05	1.43208488e-04	-7.81853028e-05	-1.90235820e-07	-2.99237714e-08	-3.53766929e-07	-2.06807236e-07	-1.46959693e-07
0.028822773     	1.65836820e+00	8.29183906e-01	8.29184290e-01	1.18108562e-04	-1.66636666e-05	1.34772229e-04	-7.57179476e-05	-1.92012405e-07	-3.10663387e-08	-3.11976079e-07	-1.87054378e-07	-1.24921701e-07
0.030128148     	1.63958955e+00	8.19794595e-01	8.19794953e-01	1.01412634e-04	-2.28456261e-05	1.24258261e-04	-7.35519433e-05	-1.79229092e-07	-2.21158378e-08	-2.76479857e-07	-1.60355766e-07	-1.16124091e-07
0.031440325     	1.62217887e+00	8.11089251e-01	8.11089616e-01	1.02369714e-04	-2.00957232e-05	1.22465437e-04	-7.12805801e-05	-1.82721319e-07	-5.17391846e-09	-2.47617827e-07	-1.28982832e-07	-1.18634995e-07
0.032759009     	1.60687553e+00	8.03437580e-01	8.03437952e-01	9.17897745e-05	-2.36304153e-05	1.15420190e-04	-6.95253025e-05	-1.86412383e-07	-6.36845979e-08	-2.14653250e-07	-1.71011223e-07	-4.36420269e-08
0.034083919     	1.59351305e+00	7.96756333e-01	7.96756718e-01	8.73068435e-05	-2.37489606e-05	1.11055804e-04	-6.74023824e-05	-1.92203644e-07	-5.72021251e-08	-1.85500112e-07	-1.49952181e-07	-3.55479309e-08
0.035414786     	1.58029978e+00	7.90149711e-01	7.90150065e-01	7.70305601e-05	-2.70753000e-05	1.04105860e-04	-6.55905800e-05	-1.76984060e-07	-1.08317611e-08	-1.66975773e-07	-9.43196475e-08	-7.26561253e-08
0.036751356     	1.56910096e+00	7.84550296e-01	7.84550660e-01	6.81152750e-05	-2.98503237e-05	9.79655986e-05	-6.39079611e-05	-1.82092939e-07	-5.20381115e-08	-1.44969299e-07	-1.24522761e-07	-2.04465377e-08
0.038093389     	1.55928476e+00	7.79642183e-01	7.79642577e-01	6.04694449e-05	-3.21405400e-05	9.26099850e-05	-6.23752625e-05	-1.96584231e-07	-7.41969335e-08	-1.23456280e-07	-1.35925074e-07	1.24687934e-08
0.039440661     	1.55038948e+00	7.75194572e-01	7.75194905e-01	6.01599912e-05	-3.05648837e-05	9.07248749e-05	-6.06448793e-05	-1.66688194e-07	-1.01337373e-07	-1.02341805e-07	-1.52508275e-07	5.01664703e-08
0.040792961     	1.54066089e+00	7.70330263e-01	7.70330626e-01	5.73336497e-05	-2.97411586e-05	8.70748083e-05	-5.84079834e-05	-1.81359293e-07	4.90339964e-08	-9.93521282e-08	-6.42067707e-10	-9.87100605e-08
0.042150093     	1.53448973e+00	7.67244714e-01	7.67245015e-01	4.76998373e-05	-3.31256996e-05	8.08255369e-05	-5.69756183e-05	-1.50662223e-07	-1.17467030e-07	-8.40130839e-08	-1.59473572e-07	7.54604877e-08
0.043511873     	1.52840630e+00	7.64203013e-01	7.64203288e-01	4.87563656e-05	-3.18532011e-05	8.06095667e-05	-5.62313839e-05	-1.37051640e-07	-1.24977927e-07	-6.75338726e-08	-1.58744863e-07	9.12109904e-08
0.044878131     	1.52313877e+00	7.61569252e-01	7.61569520e-01	5.68344881e-05	-2.64198590e-05	8.32543471e-05	-5.48371031e-05	-1.33736307e-07	-1.15883395e-07	-5.28143237e-08	-1.42290557e-07	8.94762333e-08
0.046248707     	1.51831601e+00	7.59157862e-01	7.59158152e-01	4.52139912e-05	-3.08608754e-05	7.60748667e-05	-5.34678711e-05	-1.45006097e-07	-1.21336925e-07	-3.95378695e-08	-1.41105860e-07	1.01567990e-07
0.047623451     	1.51375893e+00	7.56879339e-01	7.56879591e-01	9.54320945e-06	-4.76098069e-05	5.71530163e-05	-5.23814116e-05	-1.25891225e-07	-1.28146531e-07	-2.78845825e-08	-1.42088822e-07	1.14204240e-07
0.049002222     	1.51044464e+00	7.55222189e-01	7.55222452e-01	5.92995427e-05	-2.14509733e-05	8.07505160e-05	-5.11007447e-05	-1.31217567e-07	-5.40006334e-08	-2.51821380e-08	-6.65917024e-08	4.14095643e-08
0.050384889     	1.50468765e+00	7.52343706e-01	7.52343946e-01	3.93035494e-05	-3.04740284e-05	6.97775779e-05	-5.01258031e-05	-1.20108745e-07	-1.02125067e-07	-1.81322551e-08	-1.11191194e-07	9.30589391e-08
0.051771329     	1.50104705e+00	7.50523378e-01	7.50523674e-01	3.10633551e-05	-3.31572406e-05	6.42205957e-05	-4.86889181e-05	-1.47915632e-07	-1.07791710e-07	-9.61717505e-09	-1.12600298e-07	1.02983123e-07
0.053161426     	1.49993162e+00	7.49965674e-01	7.49965945e-01	4.89235210e-05	-2.31161317e-05	7.20396527e-05	-4.75778922e-05	-1.35807231e-07	-1.26770036e-07	-1.82198539e-09	-1.27681029e-07	1.25859043e-07
0.054555071     	1.49826234e+00	7.49131023e-01	7.49131314e-01	2.69264552e-05	-3.32716800e-05	6.01981351e-05	-4.67349075e-05	-1.45415803e-07	-8.30528603e-08	2.42233622e-09	-8.18416922e-08	8.42640284e-08
0.05595216      	1.49528972e+00	7.47644708e-01	7.47645008e-01	6.17924340e-05	-1.47977209e-05	7.65901549e-05	-4.56939379e-05	-1.50228650e-07	-1.14617300e-07	8.73605892e-09	-1.10249271e-07	1.18985329e-07
0.057352599     	1.49536508e+00	7.47682419e-01	7.47682657e-01	-1.37145965e-05	-5.17045010e-05	3.79899044e-05	-4.48472027e-05	-1.18864137e-07	-1.30694194e-07	1.41042305e-08	-1.23642078e-07	1.37746309e-07
0.058756201     	1.49367751e+00	7.46838628e-01	7.46838883e-01	5.56819465e-05	-1.61546267e-05	7.18365732e-05	-4.39956000e-05	-1.27415851e-07	-8.31639374e-08	1.83432821e-08	-7.39922963e-08	9.23355784e-08
