# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0011576264    	smoothSolver	1.00000000e+00	5.26381060e-09	8	1.00000000e+00	2.21472990e-09	8	1.00000000e+00	1.09355390e-09	8	false	GAMG	1.00000000e+00	2.78989280e-03	7	true
0.0022844849    	smoothSolver	2.50752470e-01	1.10078580e-09	6	4.99401220e-01	2.04709630e-09	6	2.49665310e-01	8.32768260e-09	6	false	GAMG	2.68477320e-01	2.57380680e-03	6	true
0.0034030332    	smoothSolver	7.68039640e-02	5.63975940e-09	5	2.68950920e-01	9.75675610e-10	6	2.45045290e-01	4.46562980e-09	6	false	GAMG	2.01225400e-01	1.81000370e-03	6	true
0.0045200778    	smoothSolver	3.86271230e-03	8.61017270e-10	5	1.18291700e-02	9.85454660e-09	4	7.21953460e-02	1.19108370e-09	6	false	GAMG	1.91281050e-01	1.29891130e-03	4	true
0.0056419463    	smoothSolver	2.28814310e-03	7.80071220e-09	4	7.80586530e-03	6.84835520e-10	5	5.00660070e-02	9.63297650e-10	6	false	GAMG	1.23965450e-01	7.68110050e-04	3	true
0.0067756362    	smoothSolver	1.85707130e-03	5.92308750e-09	4	6.44634470e-03	8.38569170e-09	4	4.06364560e-02	7.82432680e-10	6	false	GAMG	9.84312490e-02	6.96925910e-04	3	true
0.0079235361    	smoothSolver	1.58794660e-03	4.81361220e-09	4	5.74171920e-03	7.23999700e-09	4	3.46733210e-02	9.92864920e-09	5	false	GAMG	7.07841450e-02	5.76925870e-04	3	true
0.0090826193    	smoothSolver	1.39654090e-03	3.96304510e-09	4	5.18718530e-03	6.25989080e-09	4	3.03289400e-02	7.58799680e-09	5	false	GAMG	5.46582700e-02	4.93498510e-04	3	true
0.010249073     	smoothSolver	1.24807810e-03	3.25611160e-09	4	4.78152700e-03	5.38578710e-09	4	2.74431980e-02	5.42114390e-09	5	false	GAMG	4.45181730e-02	4.27361020e-04	3	true
0.011423099     	smoothSolver	1.13278220e-03	2.71411610e-09	4	4.47467150e-03	4.69983130e-09	4	2.54586860e-02	3.82608620e-09	5	false	GAMG	3.81078590e-02	3.70367140e-04	3	true
0.012605716     	smoothSolver	1.04238380e-03	2.30699210e-09	4	4.23620480e-03	4.18056050e-09	4	2.36034770e-02	2.72431570e-09	5	false	GAMG	3.32560020e-02	3.23153880e-04	3	true
0.013797567     	smoothSolver	9.69749840e-04	1.99390760e-09	4	4.04318790e-03	3.77406210e-09	4	2.18804660e-02	2.16513280e-09	5	false	GAMG	2.96264430e-02	2.84115430e-04	3	true
