# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5266666700e-01
# lRef            : 1.2000000000e-02
# Aref            : 1.2000000000e-04
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.000106839370662 	9.9991249996e+02	4.9994513118e+02	4.9996736879e+02	-1.2268727533e+00	-6.1686784542e-01	-6.1000490788e-01	-3.4314687671e-03	-1.1118806759e-02	1.0788068838e-02	3.6462420598e-05	1.0806300048e-02	-1.0769837628e-02
0.000235046615456 	-4.8435115270e+02	-2.4211582320e+02	-2.4223532950e+02	1.0154513285e+00	5.0643039438e-01	5.0902093416e-01	-1.2952698874e-03	5.9753152797e-02	1.1130891588e-02	-4.8636817813e-05	1.1106573179e-02	-1.1155209997e-02
0.000382929937517 	-3.3875953238e+00	-1.7079458902e+00	-1.6796494336e+00	-2.3394987717e-01	-1.1780793893e-01	-1.1614193824e-01	-8.3300034566e-04	-1.4148228294e-02	-2.5868899614e-02	2.1287387210e-06	-2.5867835244e-02	2.5869963983e-02
0.000559875186741 	3.2381336440e+00	1.5973138293e+00	1.6408198147e+00	-1.2991795855e-01	-6.5530915697e-02	-6.4387042858e-02	-5.7193641968e-04	-2.1752992661e-02	2.6869984644e-02	9.4699957380e-07	2.6870458144e-02	-2.6869511145e-02
0.000767457150984 	6.5796803853e+00	3.2862656726e+00	3.2934147127e+00	2.3030566853e-02	1.1135832334e-02	1.1894734520e-02	-3.7945109303e-04	-3.5745200255e-03	7.3607316046e-04	4.3952770678e-07	7.3629292431e-04	-7.3585339660e-04
0.00101086765353  	5.0798024067e+00	2.5414944766e+00	2.5383079301e+00	5.1942514727e-03	2.2659602377e-03	2.9282912350e-03	-3.3116549869e-04	1.5932732566e-03	-2.6813404993e-03	1.4378431169e-07	-2.6812686071e-03	2.6814123914e-03
0.001293212778    	4.4662671097e+00	2.2338918537e+00	2.2323752559e+00	-3.1856721785e-03	-2.0084710928e-03	-1.1772010857e-03	-4.1563500351e-04	7.5829891067e-04	-8.8989399330e-04	9.0306201464e-08	-8.8984884019e-04	8.8993914640e-04
0.00161441018748  	4.0619933846e+00	2.0315425248e+00	2.0304508598e+00	-5.7011148847e-03	-3.3891137119e-03	-2.3120011728e-03	-5.3855626957e-04	5.4583251406e-04	-7.1167756190e-04	7.4013512639e-08	-7.1164055515e-04	7.1171456866e-04
0.00197435962163  	3.7550615596e+00	1.8775688317e+00	1.8774927279e+00	-7.0454304091e-03	-4.1421987893e-03	-2.9032316198e-03	-6.1948358473e-04	3.8051860002e-05	-2.9639636721e-04	4.9615634390e-08	-2.9637155939e-04	2.9642117503e-04
0.00236169047166  	3.5190221572e+00	1.7592414080e+00	1.7597807492e+00	-7.2670347889e-03	-4.2698346867e-03	-2.9972001022e-03	-6.3631729224e-04	-2.6967062958e-04	-2.3009632383e-04	3.4423156570e-08	-2.3007911225e-04	2.3011353541e-04
