# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.0213333300e-01
# lRef            : 1.2000000000e-02
# Aref            : 1.2000000000e-04
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
6.66828830405e-05 	1.9565190841e+03	9.7824569178e+02	9.7827339234e+02	-2.9091164125e+00	-1.4610042091e+00	-1.4481122034e+00	-6.4460028834e-03	-1.3850282756e-02	-1.7362614833e-02	1.3070855202e-06	-1.7361961290e-02	1.7363268375e-02
0.000145806042638 	-9.1257758042e+02	-4.5624299289e+02	-4.5633458753e+02	1.2774543311e+00	6.3652960067e-01	6.4092473043e-01	-2.1975648788e-03	4.5797317783e-02	7.7828928336e-02	1.1688072194e-06	7.7829512739e-02	-7.7828343932e-02
0.000236374768683 	-4.4592753109e+01	-2.2329887767e+01	-2.2262865341e+01	1.2357116703e-01	5.9803726217e-02	6.3767440814e-02	-1.9818572987e-03	-3.3511213045e-02	-6.5981464810e-02	4.1175102590e-07	-6.5981258934e-02	6.5981670685e-02
0.000341537757589 	1.2879835189e+01	6.4447485198e+00	6.4350866695e+00	-1.7388785016e-02	-1.0456187029e-02	-6.9325979869e-03	-1.7617945211e-03	4.8309251129e-03	1.1782207708e-02	1.3369332296e-07	1.1782274555e-02	-1.1782140861e-02
0.000464897828408 	1.3656739747e+01	6.8290943011e+00	6.8276454460e+00	-8.5292173009e-03	-5.8135958088e-03	-2.7156214920e-03	-1.5489871584e-03	7.2442757808e-04	3.7758297274e-03	7.1181622750e-09	3.7758332865e-03	-3.7758261683e-03
0.000608637604909 	9.3304393734e+00	4.6662289481e+00	4.6642104253e+00	-7.0811322706e-03	-4.8999567409e-03	-2.1811755296e-03	-1.3593906057e-03	1.0092614182e-03	-4.1719385806e-05	-1.1849433444e-08	-4.1725310523e-05	4.1713461089e-05
0.000773686973875 	7.5981891010e+00	3.7994324690e+00	3.7987566320e+00	-6.7154483718e-03	-4.5696237713e-03	-2.1458246005e-03	-1.2118995854e-03	3.3791848751e-04	-4.7525327781e-05	1.7900629315e-09	-4.7524432750e-05	4.7526222812e-05
0.000960858578732 	6.7675028414e+00	3.3838316325e+00	3.3836712088e+00	-7.3540074114e-03	-4.7769986581e-03	-2.5770087533e-03	-1.0999949524e-03	8.0211850336e-05	-7.6686791090e-05	7.2864707209e-09	-7.6683147855e-05	7.6690434325e-05
0.00117030575656  	6.1886046619e+00	3.0942307449e+00	3.0943739170e+00	-7.9912378655e-03	-5.0073917215e-03	-2.9838461440e-03	-1.0117727887e-03	-7.1586026903e-05	-5.2783410853e-05	6.0465128448e-09	-5.2780387596e-05	5.2786434109e-05
0.00139391756075  	5.7690267466e+00	2.8844427777e+00	2.8845839689e+00	-8.0811051849e-03	-4.9789853315e-03	-3.1021198534e-03	-9.3843273907e-04	-7.0595624867e-05	-1.4797796603e-05	5.5738592803e-09	-1.4795009674e-05	1.4800583533e-05
0.00162055929781  	5.4237505194e+00	2.7118159407e+00	2.7119345787e+00	-8.2517747685e-03	-5.0028125237e-03	-3.2489622448e-03	-8.7692513945e-04	-5.9319024713e-05	-2.4413861782e-05	5.6302343675e-09	-2.4411046665e-05	2.4416676900e-05
0.00185149586507  	5.1247749341e+00	2.5623466950e+00	2.5624282391e+00	-8.3478612855e-03	-4.9977288897e-03	-3.3501323958e-03	-8.2379824695e-04	-4.0772018012e-05	-2.4214049232e-05	5.4895763947e-09	-2.4211304443e-05	2.4216794020e-05
0.00208754509032  	4.8660394898e+00	2.4330025927e+00	2.4330368971e+00	-8.2868765527e-03	-4.9208982278e-03	-3.3659783249e-03	-7.7745995143e-04	-1.7152238075e-05	-3.1885314584e-05	5.1417575242e-09	-3.1882743705e-05	3.1887885463e-05
0.00232921888921  	4.6404889393e+00	2.3202219482e+00	2.3202669911e+00	-8.3442979537e-03	-4.9088412373e-03	-3.4354567164e-03	-7.3669226047e-04	-2.2521448356e-05	-4.8913575009e-05	4.8187776652e-09	-4.8911165620e-05	4.8915984398e-05
0.00257432305295  	4.4456027130e+00	2.2227814226e+00	2.2228212904e+00	-8.3176423315e-03	-4.8597670708e-03	-3.4578752607e-03	-7.0094590507e-04	-1.9933898384e-05	-6.4477943275e-05	4.5678812487e-09	-6.4475659334e-05	6.4480227215e-05
0.00282256434165  	4.2739822105e+00	2.1369733737e+00	2.1370088368e+00	-8.3112425099e-03	-4.8249695689e-03	-3.4862729411e-03	-6.6934831389e-04	-1.7731508484e-05	-7.0970323642e-05	4.3770763299e-09	-7.0968135104e-05	7.0972512181e-05
0.00307411262442  	4.1227532104e+00	2.0613582221e+00	2.0613949883e+00	-8.2889856772e-03	-4.7856667032e-03	-3.5033189740e-03	-6.4117386457e-04	-1.8383107476e-05	-7.1701354994e-05	4.1906243140e-09	-7.1699259681e-05	7.1703450306e-05
0.00332900794004  	3.9874060041e+00	1.9936833650e+00	1.9937226391e+00	-8.2284669795e-03	-4.7300864395e-03	-3.4983805400e-03	-6.1585294977e-04	-1.9637056633e-05	-7.2706246735e-05	4.0179897817e-09	-7.2704237740e-05	7.2708255730e-05
