# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.0213300000e-01
# lRef            : 1.2000000000e-02
# Aref            : 1.2000000000e-04
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1.20032577265     	2.5859638471e+00	1.2929927930e+00	1.2929710542e+00	3.5840058417e-04	1.7859956118e-04	1.7980102299e-04	-6.0073090248e-07	1.0869394535e-05	-7.5003724155e-06	1.9033455476e-09	-7.4994207427e-06	7.5013240882e-06
1.20071562329     	2.5859692978e+00	1.2929758646e+00	1.2929934332e+00	3.4972693496e-04	1.7421278493e-04	1.7551415003e-04	-6.5068254696e-07	-8.7843396669e-06	-1.2364026628e-04	1.9751343302e-09	-1.2363927871e-04	1.2364125385e-04
1.20110547337     	2.5859625257e+00	1.2929921253e+00	1.2929704004e+00	3.4838911027e-04	1.7348212862e-04	1.7490698165e-04	-7.1242651387e-07	1.0862441686e-05	-7.5137264297e-06	1.9033931642e-09	-7.5127747331e-06	7.5146781263e-06
1.2014953241      	2.5859679851e+00	1.2929752064e+00	1.2929927787e+00	3.3949713547e-04	1.6898599483e-04	1.7051114065e-04	-7.6257290930e-07	-8.7861659474e-06	-1.2362482272e-04	1.9751551227e-09	-1.2362383514e-04	1.2362581030e-04
1.20188517428     	2.5859612165e+00	1.2929914609e+00	1.2929697556e+00	3.3807393293e-04	1.6821247866e-04	1.6986145427e-04	-8.2448780079e-07	1.0852643350e-05	-7.5180240329e-06	1.9034331381e-09	-7.5170723164e-06	7.5189757495e-06
1.20227502512     	2.5859666817e+00	1.2929745527e+00	1.2929921290e+00	3.2897183419e-04	1.6361113252e-04	1.6536070168e-04	-8.7478458036e-07	-8.7881374934e-06	-1.2362441935e-04	1.9751863087e-09	-1.2362343176e-04	1.2362540694e-04
1.20266487541     	2.5859598963e+00	1.2929907975e+00	1.2929690988e+00	3.2740131819e-04	1.6276383177e-04	1.6463748643e-04	-9.3682732944e-07	1.0849363834e-05	-7.5323016468e-06	1.9034784124e-09	-7.5313499076e-06	7.5332533860e-06
1.20305472638     	2.5859653408e+00	1.2929738811e+00	1.2929914597e+00	3.1826024007e-04	1.5814289518e-04	1.6011734488e-04	-9.8722485115e-07	-8.7892704701e-06	-1.2361221668e-04	1.9752031079e-09	-1.2361122908e-04	1.2361320428e-04
1.2034445768      	2.5859585739e+00	1.2929901270e+00	1.2929684469e+00	3.1646462456e-04	1.5718295419e-04	1.5928167036e-04	-1.0493580840e-06	1.0840033301e-05	-7.5332075333e-06	1.9035188362e-09	-7.5322557739e-06	7.5341592928e-06
1.20383442791     	2.5859640931e+00	1.2929732567e+00	1.2929908364e+00	3.0702742110e-04	1.5241389952e-04	1.5461352158e-04	-1.0998110313e-06	-8.7898903138e-06	-1.2359850010e-04	1.9752407202e-09	-1.2359751247e-04	1.2359948772e-04
1.20422427847     	2.5859573342e+00	1.2929895043e+00	1.2929678299e+00	3.0514863697e-04	1.5141235195e-04	1.5373628501e-04	-1.1619665318e-06	1.0837188774e-05	-7.5395980977e-06	1.9035706872e-09	-7.5386463124e-06	7.5405498831e-06
1.20461412973     	2.5859628164e+00	1.2929726172e+00	1.2929901992e+00	2.9564394509e-04	1.4660954863e-04	1.4903439646e-04	-1.2124239140e-06	-8.7909788632e-06	-1.2358590450e-04	1.9752636639e-09	-1.2358491687e-04	1.2358689213e-04
1.20500398044     	2.5859560225e+00	1.2929888381e+00	1.2929671843e+00	2.9372595766e-04	1.4558840138e-04	1.4813755629e-04	-1.2745774562e-06	1.0826892643e-05	-7.5500595854e-06	1.9036121377e-09	-7.5491077793e-06	7.5510113914e-06
1.20539383186     	2.5859613227e+00	1.2929718676e+00	1.2929894551e+00	2.8408014486e-04	1.4071506045e-04	1.4336508441e-04	-1.3250119774e-06	-8.7937501680e-06	-1.2358775554e-04	1.9752994880e-09	-1.2358676789e-04	1.2358874319e-04
1.20578368274     	2.5859549055e+00	1.2929882768e+00	1.2929666287e+00	2.8170922458e-04	1.3946749932e-04	1.4224172526e-04	-1.3871129716e-06	1.0824025818e-05	-7.5692768584e-06	1.9036608619e-09	-7.5683250280e-06	7.5702286889e-06
1.20617353433     	2.5859601634e+00	1.2929712874e+00	1.2929888760e+00	2.7187367709e-04	1.3449939849e-04	1.3737427859e-04	-1.4374400497e-06	-8.7943089449e-06	-1.2357462814e-04	1.9753189914e-09	-1.2357364048e-04	1.2357561580e-04
1.20656338539     	2.5859534248e+00	1.2929875280e+00	1.2929658968e+00	2.6958309767e-04	1.3329212469e-04	1.3629097298e-04	-1.4994241468e-06	1.0815615976e-05	-7.5714990620e-06	1.9037084886e-09	-7.5705472077e-06	7.5724509162e-06
1.20695323717     	2.5859588914e+00	1.2929706476e+00	1.2929882438e+00	2.5966688012e-04	1.2828381057e-04	1.3138306955e-04	-1.5496294869e-06	-8.7980675006e-06	-1.2357238158e-04	1.9753602593e-09	-1.2357139390e-04	1.2357336926e-04
1.20734308842     	2.5859521564e+00	1.2929868865e+00	1.2929652699e+00	2.5734176594e-04	1.2705940433e-04	1.3028236161e-04	-1.6114786427e-06	1.0808320949e-05	-7.5850065613e-06	1.9037564922e-09	-7.5840546831e-06	7.5859584396e-06
1.20773294039     	2.5859575998e+00	1.2929699992e+00	1.2929876007e+00	2.4727271981e-04	1.2197483937e-04	1.2529788045e-04	-1.6615205402e-06	-8.8007512733e-06	-1.2355293770e-04	1.9753788350e-09	-1.2355195001e-04	1.2355392539e-04
1.20812279185     	2.5859508442e+00	1.2929862225e+00	1.2929646217e+00	2.4482461932e-04	1.2068912844e-04	1.2413549088e-04	-1.7231812221e-06	1.0800418769e-05	-7.5828883812e-06	1.9038025494e-09	-7.5819364799e-06	7.5838402824e-06
1.20851264403     	2.5859563033e+00	1.2929693487e+00	1.2929869546e+00	2.3463531742e-04	1.1554465333e-04	1.1909066409e-04	-1.7730053803e-06	-8.8029673712e-06	-1.2354870596e-04	1.9754176529e-09	-1.2354771825e-04	1.2354969367e-04
1.2089024957      	2.5859495781e+00	1.2929855835e+00	1.2929639946e+00	2.3226654565e-04	1.1429884859e-04	1.1796769707e-04	-1.8344242394e-06	1.0794436896e-05	-7.5951338388e-06	1.9038501159e-09	-7.5941819137e-06	7.5960857639e-06
1.2092923481      	2.5859550685e+00	1.2929687276e+00	1.2929863410e+00	2.2199246312e-04	1.0911224248e-04	1.1288022065e-04	-1.8839890857e-06	-8.8067151490e-06	-1.2352704978e-04	1.9754375851e-09	-1.2352606206e-04	1.2352803750e-04
1.20968219999     	2.5859482924e+00	1.2929849287e+00	1.2929633637e+00	2.1883800855e-04	1.0747387180e-04	1.1136413676e-04	-1.9451324821e-06	1.0782528316e-05	-7.5903023841e-06	1.9038981785e-09	-7.5893504351e-06	7.5912543332e-06
