x_m,x_over_Dh,T_bulk_K,Tw_minus_Tbulk_K,wall_sngrad_K_per_m,wall_face_samples,Nu_local
0.002,0.08333333333333333,294.3399190055402,8.810080994459781,8676.899999999818,2,23.637194723970286
0.006,0.25,295.29182393369604,7.85817606630394,3300.699999999779,2,10.080812561540629
0.01,0.4166666666666667,295.84215202418903,7.307847975810944,2550.5999999995765,2,8.376528931993409
0.014,0.5833333333333334,296.39851661673555,6.7514833832644285,2223.9999999999327,2,7.905818169131064
0.018000000000000002,0.7500000000000001,296.85531413440447,6.294685865595511,2013.900000000035,2,7.678476898136397
0.022,0.9166666666666666,297.2963306152405,5.853669384759485,1853.399999999965,2,7.598925917444314
0.026000000000000002,1.0833333333333335,297.6913960222336,5.458603977766359,1718.3999999997468,2,7.555338355370092
0.03,1.25,298.06448406360994,5.085515936390038,1598.6999999995533,2,7.544721220011638
0.034,1.4166666666666667,298.40839704635096,4.741602953649021,1489.3999999998186,2,7.538716410762886
0.038,1.5833333333333333,298.7304883119943,4.419511688005684,1388.3999999995922,2,7.539656494273617
0.042,1.75,299.0298316936094,4.120168306390553,1294.3999999998823,2,7.539886162371845
0.046,1.9166666666666665,299.30932427884403,3.8406757211559466,1206.7999999999302,2,7.541172986945415
0.05,2.0833333333333335,299.5696515754778,3.5803484245221853,1125.0999999998612,2,7.541835821076623
0.054,2.25,299.8124530653189,3.337546934681086,1048.8999999995485,2,7.5425456158849755
0.058,2.4166666666666665,300.0387415082788,3.1112584917211734,977.800000000002,2,7.542671257449201
0.062,2.5833333333333335,300.2497211367156,2.9002788632843703,911.4999999997053,2,7.542722969480194
0.066,2.75,300.4463802520316,2.703619747968389,849.6999999999844,2,7.5427766849697
0.07,2.916666666666667,300.6297167515197,2.5202832484802684,792.0999999998912,2,7.542961693476583
0.074,3.083333333333333,300.8006157250822,2.3493842749177816,738.3999999996149,2,7.5430827511650635
0.078,3.25,300.95993012957706,2.190069870422917,688.2999999999129,2,7.542773051714529
0.082,3.4166666666666665,301.1084403272391,2.0415596727608545,641.6999999999007,2,7.543644305615967
0.08600000000000001,3.5833333333333335,301.2468793020923,1.9031206979076956,598.0999999997039,2,7.542558922181984
0.09,3.75,301.37593203811537,1.7740679618846116,557.5999999996384,2,7.54334122903333
0.094,3.9166666666666665,301.4962337162603,1.6537662837396852,519.7999999995773,2,7.543508488865493
0.098,4.083333333333333,301.60837671349344,1.5416232865065354,484.50000000002547,2,7.542698726581098
0.10200000000000001,4.25,301.71291525769226,1.437084742307718,451.6999999998461,2,7.543605245288314
0.106,4.416666666666666,301.8103651700814,1.339634829918566,421.0000000000491,2,7.5423539119353755
0.11,4.583333333333333,301.9012085115562,1.2487914884437714,392.49999999981355,2,7.543292925334248
0.114,4.75,301.9858891452105,1.1641108547894987,365.89999999989686,2,7.543611472968753
0.11800000000000001,4.916666666666667,302.064829611533,1.0851703884669632,341.0999999999831,2,7.543884432346745
0.122,5.083333333333333,302.1384161136639,1.0115838863360977,317.90000000000873,2,7.542231645893658
0.126,5.25,302.20701158486247,0.9429884151375063,296.39999999972133,2,7.543676980332795
