pair,freq_Hz,coherence
probe_0_1D,0,0.9912049098
probe_0_1D,0.78125,0.701196542
probe_0_1D,1.5625,0.9054973822
probe_0_1D,2.34375,0.9877599688
probe_0_1D,3.125,0.9941972721
probe_0_1D,3.90625,0.9691956324
probe_0_1D,4.6875,0.9463750568
probe_0_1D,5.46875,0.9975948054
probe_0_1D,6.25,0.9997855498
probe_0_1D,7.03125,0.9990997558
probe_0_1D,7.8125,0.9941701812
probe_0_1D,8.59375,0.986110064
probe_0_1D,9.375,0.9729440976
probe_0_1D,10.15625,0.9673358281
probe_0_1D,10.9375,0.9435620763
probe_0_1D,11.71875,0.9957860717
probe_0_1D,12.5,0.9978805777
probe_0_1D,13.28125,0.9993559654
probe_0_1D,14.0625,0.9991502074
probe_0_1D,14.84375,0.9981644638
probe_0_1D,15.625,0.9957700628
probe_0_1D,16.40625,0.981932784
probe_0_1D,17.1875,0.9558224726
probe_0_1D,17.96875,0.9490100377
probe_0_1D,18.75,0.9769347669
probe_0_1D,19.53125,0.840815806
probe_0_1D,20.3125,0.9887484014
probe_0_1D,21.09375,0.9948062914
probe_0_1D,21.875,0.9934340929
probe_0_1D,22.65625,0.9881351414
probe_0_1D,23.4375,0.9876292678
probe_0_1D,24.21875,0.9872035321
probe_0_1D,25,0.9865822819
probe_0_1D,25.78125,0.9849843165
probe_0_1D,26.5625,0.9834138468
probe_0_1D,27.34375,0.9806480734
probe_0_1D,28.125,0.9867157008
probe_0_1D,28.90625,0.9906984342
probe_0_1D,29.6875,0.9956244483
probe_0_1D,30.46875,0.9952437848
probe_0_1D,31.25,0.9913333227
probe_0_1D,32.03125,0.9945008357
probe_0_1D,32.8125,0.994052063
probe_0_1D,33.59375,0.9911231371
probe_0_1D,34.375,0.9902140845
probe_0_1D,35.15625,0.9938577132
probe_0_1D,35.9375,0.9953549211
probe_0_1D,36.71875,0.9875336683
probe_0_1D,37.5,0.9926870805
probe_0_1D,38.28125,0.9955516397
probe_0_1D,39.0625,0.9913197475
probe_0_1D,39.84375,0.9892900893
probe_0_1D,40.625,0.9937995641
probe_0_1D,41.40625,0.9965186231
probe_0_1D,42.1875,0.9897996706
probe_0_1D,42.96875,0.9797653458
probe_0_1D,43.75,0.9898239066
probe_0_1D,44.53125,0.9933297159
probe_0_1D,45.3125,0.9638724414
probe_0_1D,46.09375,0.9908306999
probe_0_1D,46.875,0.9932026091
probe_0_1D,47.65625,0.9377258787
probe_0_1D,48.4375,0.9501480347
probe_0_1D,49.21875,0.5189693652
probe_0_1D,50,0.7795016849
probe_1_2D,0,0.935343316
probe_1_2D,0.78125,0.9584884977
probe_1_2D,1.5625,0.8967103728
probe_1_2D,2.34375,0.9114280981
probe_1_2D,3.125,0.809027331
probe_1_2D,3.90625,0.9835905889
probe_1_2D,4.6875,0.8676328691
probe_1_2D,5.46875,0.9836214659
probe_1_2D,6.25,0.9969010222
probe_1_2D,7.03125,0.9923316009
probe_1_2D,7.8125,0.961801795
probe_1_2D,8.59375,0.9889402343
probe_1_2D,9.375,0.9988002014
probe_1_2D,10.15625,0.9993749833
probe_1_2D,10.9375,0.9997775317
probe_1_2D,11.71875,0.9983367396
probe_1_2D,12.5,0.9996985962
probe_1_2D,13.28125,0.99997755
probe_1_2D,14.0625,0.99869717
probe_1_2D,14.84375,0.9984924044
probe_1_2D,15.625,0.9993383362
probe_1_2D,16.40625,0.9997733107
probe_1_2D,17.1875,0.9999189884
probe_1_2D,17.96875,0.9998490172
probe_1_2D,18.75,0.9998860598
probe_1_2D,19.53125,0.9997141448
probe_1_2D,20.3125,0.9995545431
probe_1_2D,21.09375,0.9991863931
probe_1_2D,21.875,0.9992995049
probe_1_2D,22.65625,0.999594669
probe_1_2D,23.4375,0.9992946004
probe_1_2D,24.21875,0.9982416749
probe_1_2D,25,0.9972288618
probe_1_2D,25.78125,0.9966273697
probe_1_2D,26.5625,0.9968299077
probe_1_2D,27.34375,0.992666489
probe_1_2D,28.125,0.9771631608
probe_1_2D,28.90625,0.6411906702
probe_1_2D,29.6875,0.9871138502
probe_1_2D,30.46875,0.9904864115
probe_1_2D,31.25,0.98843575
probe_1_2D,32.03125,0.9405847766
probe_1_2D,32.8125,0.9764374829
probe_1_2D,33.59375,0.9777172976
probe_1_2D,34.375,0.8842732585
probe_1_2D,35.15625,0.9333883397
probe_1_2D,35.9375,0.9526447652
probe_1_2D,36.71875,0.990649889
probe_1_2D,37.5,0.9033429365
probe_1_2D,38.28125,0.9382512247
probe_1_2D,39.0625,0.872845984
probe_1_2D,39.84375,0.9110793706
probe_1_2D,40.625,0.852426971
probe_1_2D,41.40625,0.9209563055
probe_1_2D,42.1875,0.6886353321
probe_1_2D,42.96875,0.7786797467
probe_1_2D,43.75,0.8821673638
probe_1_2D,44.53125,0.9289089991
probe_1_2D,45.3125,0.6715586384
probe_1_2D,46.09375,0.7088465421
probe_1_2D,46.875,0.6538275331
probe_1_2D,47.65625,0.8581709402
probe_1_2D,48.4375,0.8482413206
probe_1_2D,49.21875,0.7722715744
probe_1_2D,50,0.06844029515
probe_2_3D,0,0.6844823993
probe_2_3D,0.78125,0.8198597057
probe_2_3D,1.5625,0.9989388394
probe_2_3D,2.34375,0.3686419125
probe_2_3D,3.125,0.9414193654
probe_2_3D,3.90625,0.9900554721
probe_2_3D,4.6875,0.7570593262
probe_2_3D,5.46875,0.9394687003
probe_2_3D,6.25,0.9961438314
probe_2_3D,7.03125,0.9930358945
probe_2_3D,7.8125,0.8866975928
probe_2_3D,8.59375,0.5241258204
probe_2_3D,9.375,0.999478833
probe_2_3D,10.15625,0.9996889045
probe_2_3D,10.9375,0.9980061595
probe_2_3D,11.71875,0.861824526
probe_2_3D,12.5,0.9945147945
probe_2_3D,13.28125,0.9988351715
probe_2_3D,14.0625,0.9989319086
probe_2_3D,14.84375,0.9984168725
probe_2_3D,15.625,0.9967800553
probe_2_3D,16.40625,0.9994410802
probe_2_3D,17.1875,0.9984719638
probe_2_3D,17.96875,0.9905416988
probe_2_3D,18.75,0.7532869204
probe_2_3D,19.53125,0.9991374626
probe_2_3D,20.3125,0.999839865
probe_2_3D,21.09375,0.9985528804
probe_2_3D,21.875,0.09061306012
probe_2_3D,22.65625,0.9978856546
probe_2_3D,23.4375,0.9998524242
probe_2_3D,24.21875,0.9997942069
probe_2_3D,25,0.994215555
probe_2_3D,25.78125,0.9916799666
probe_2_3D,26.5625,0.9988101115
probe_2_3D,27.34375,0.9992783715
probe_2_3D,28.125,0.9984172686
probe_2_3D,28.90625,0.9967665675
probe_2_3D,29.6875,0.9993471367
probe_2_3D,30.46875,0.9996631943
probe_2_3D,31.25,0.9996806411
probe_2_3D,32.03125,0.9998176824
probe_2_3D,32.8125,0.9990795776
probe_2_3D,33.59375,0.9994620819
probe_2_3D,34.375,0.9992455224
probe_2_3D,35.15625,0.9978383348
probe_2_3D,35.9375,0.9979267746
probe_2_3D,36.71875,0.9978572737
probe_2_3D,37.5,0.9981250618
probe_2_3D,38.28125,0.9983411965
probe_2_3D,39.0625,0.9957818613
probe_2_3D,39.84375,0.9986783506
probe_2_3D,40.625,0.9987670274
probe_2_3D,41.40625,0.996082509
probe_2_3D,42.1875,0.9937090632
probe_2_3D,42.96875,0.9887613119
probe_2_3D,43.75,0.9935762345
probe_2_3D,44.53125,0.9848191354
probe_2_3D,45.3125,0.9741364339
probe_2_3D,46.09375,0.9930699352
probe_2_3D,46.875,0.9890204839
probe_2_3D,47.65625,0.9789468771
probe_2_3D,48.4375,0.8198387246
probe_2_3D,49.21875,0.9777755076
probe_2_3D,50,0.997037231
Uy_probe_0,0,0.9573166097
