signal,freq_Hz,psd
Ux_p0,0,1.841878978e-06
Ux_p0,0.78125,4.73652628e-07
Ux_p0,1.5625,2.11493341e-07
Ux_p0,2.34375,1.592423479e-06
Ux_p0,3.125,4.900715706e-06
Ux_p0,3.90625,1.85036648e-06
Ux_p0,4.6875,1.079123472e-07
Ux_p0,5.46875,1.604626924e-07
Ux_p0,6.25,1.758579999e-07
Ux_p0,7.03125,5.590115825e-08
Ux_p0,7.8125,7.984791616e-09
Ux_p0,8.59375,8.657188675e-10
Ux_p0,9.375,1.447057454e-09
Ux_p0,10.15625,3.37859246e-09
Ux_p0,10.9375,2.024432583e-09
Ux_p0,11.71875,9.498650247e-10
Ux_p0,12.5,1.67474765e-10
Ux_p0,13.28125,7.75966927e-12
Ux_p0,14.0625,3.351954572e-11
Ux_p0,14.84375,3.339230241e-11
Ux_p0,15.625,1.548192784e-11
Ux_p0,16.40625,3.201771891e-12
Ux_p0,17.1875,1.333090075e-12
Ux_p0,17.96875,1.135783797e-12
Ux_p0,18.75,3.257534913e-13
Ux_p0,19.53125,6.06839298e-15
Ux_p0,20.3125,1.363351035e-13
Ux_p0,21.09375,1.707500596e-13
Ux_p0,21.875,8.781505857e-14
Ux_p0,22.65625,9.126719184e-14
Ux_p0,23.4375,1.5767427e-13
Ux_p0,24.21875,2.054360017e-13
Ux_p0,25,1.814385644e-13
Ux_p0,25.78125,1.363609491e-13
Ux_p0,26.5625,9.723784355e-14
Ux_p0,27.34375,7.800703105e-14
Ux_p0,28.125,4.610645588e-14
Ux_p0,28.90625,3.292068497e-14
Ux_p0,29.6875,2.077355431e-14
Ux_p0,30.46875,1.396868522e-14
Ux_p0,31.25,1.381616839e-14
Ux_p0,32.03125,1.542637382e-14
Ux_p0,32.8125,1.146279206e-14
Ux_p0,33.59375,1.273924302e-14
Ux_p0,34.375,1.264098035e-14
Ux_p0,35.15625,8.261445201e-15
Ux_p0,35.9375,7.975188455e-15
Ux_p0,36.71875,7.689221471e-15
Ux_p0,37.5,4.849364007e-15
Ux_p0,38.28125,4.730206356e-15
Ux_p0,39.0625,4.011968504e-15
Ux_p0,39.84375,2.598416496e-15
Ux_p0,40.625,2.721287216e-15
Ux_p0,41.40625,2.234018224e-15
Ux_p0,42.1875,9.171875542e-16
Ux_p0,42.96875,1.731997354e-15
Ux_p0,43.75,1.45442421e-15
Ux_p0,44.53125,3.186721661e-16
Ux_p0,45.3125,5.177146763e-16
Ux_p0,46.09375,6.775794307e-16
Ux_p0,46.875,1.32946843e-16
Ux_p0,47.65625,6.064385684e-17
Ux_p0,48.4375,1.706894563e-16
Ux_p0,49.21875,9.7910129e-18
Ux_p0,50,1.703051475e-18
Uy_p0,0,7.807914025e-07
Uy_p0,0.78125,3.812445935e-06
Uy_p0,1.5625,8.74463638e-07
Uy_p0,2.34375,2.007220711e-06
Uy_p0,3.125,9.152741877e-06
Uy_p0,3.90625,3.37042914e-06
Uy_p0,4.6875,1.32533926e-07
Uy_p0,5.46875,6.367013065e-08
Uy_p0,6.25,2.29373786e-08
Uy_p0,7.03125,3.109426386e-10
Uy_p0,7.8125,1.553950428e-09
Uy_p0,8.59375,1.25354329e-09
Uy_p0,9.375,2.210766248e-09
Uy_p0,10.15625,1.621813623e-09
Uy_p0,10.9375,5.276459049e-10
Uy_p0,11.71875,1.563168584e-10
Uy_p0,12.5,3.099686969e-11
Uy_p0,13.28125,4.309867791e-11
Uy_p0,14.0625,4.657264177e-11
Uy_p0,14.84375,3.047131546e-11
Uy_p0,15.625,1.328445547e-11
Uy_p0,16.40625,3.519797771e-12
Uy_p0,17.1875,8.979838565e-13
Uy_p0,17.96875,7.688593898e-13
Uy_p0,18.75,7.856667542e-13
Uy_p0,19.53125,5.053334662e-13
Uy_p0,20.3125,2.126416183e-13
Uy_p0,21.09375,7.901161719e-14
Uy_p0,21.875,2.158802107e-14
Uy_p0,22.65625,1.981035694e-14
Uy_p0,23.4375,1.702116958e-14
Uy_p0,24.21875,1.52978413e-14
Uy_p0,25,8.572864494e-15
Uy_p0,25.78125,2.946040044e-15
Uy_p0,26.5625,2.87905155e-15
Uy_p0,27.34375,2.396610622e-15
Uy_p0,28.125,2.545293812e-15
Uy_p0,28.90625,9.037733976e-16
Uy_p0,29.6875,1.667510044e-15
Uy_p0,30.46875,7.395707001e-16
Uy_p0,31.25,1.080755623e-15
Uy_p0,32.03125,6.19553623e-16
Uy_p0,32.8125,3.1646734e-16
Uy_p0,33.59375,3.077134512e-16
Uy_p0,34.375,3.862541464e-16
Uy_p0,35.15625,2.852439811e-16
Uy_p0,35.9375,8.074456154e-17
Uy_p0,36.71875,5.734081688e-16
Uy_p0,37.5,1.794160006e-16
Uy_p0,38.28125,6.652516045e-17
Uy_p0,39.0625,4.865485958e-17
Uy_p0,39.84375,2.647952644e-16
Uy_p0,40.625,6.039590308e-17
Uy_p0,41.40625,6.073987938e-17
Uy_p0,42.1875,2.0992584e-17
Uy_p0,42.96875,2.188911935e-16
Uy_p0,43.75,7.429088906e-17
Uy_p0,44.53125,7.215228235e-17
Uy_p0,45.3125,2.035072367e-17
Uy_p0,46.09375,4.737062498e-17
Uy_p0,46.875,3.809541306e-17
Uy_p0,47.65625,2.515232904e-17
Uy_p0,48.4375,2.551944092e-17
Uy_p0,49.21875,4.851130204e-17
Uy_p0,50,3.701919707e-18
T_p0,0,1.622071301
T_p0,0.78125,3.972449346
T_p0,1.5625,0.1280430003
T_p0,2.34375,0.0141048059
T_p0,3.125,0.01151145656
T_p0,3.90625,0.004186192496
T_p0,4.6875,0.00419363746
T_p0,5.46875,0.003298318882
T_p0,6.25,0.002003417978
T_p0,7.03125,0.0006884119598
T_p0,7.8125,0.0001411627337
T_p0,8.59375,1.399550155e-05
T_p0,9.375,2.610385502e-06
T_p0,10.15625,8.146087384e-07
T_p0,10.9375,3.39196778e-07
T_p0,11.71875,2.911428209e-06
T_p0,12.5,3.939749442e-06
T_p0,13.28125,3.360090064e-06
T_p0,14.0625,1.898889568e-06
T_p0,14.84375,8.079509464e-07
T_p0,15.625,3.383033874e-07
T_p0,16.40625,1.31057186e-07
T_p0,17.1875,4.9966009e-08
T_p0,17.96875,1.677090427e-08
T_p0,18.75,1.548155615e-08
T_p0,19.53125,2.773729325e-08
T_p0,20.3125,4.038472008e-08
T_p0,21.09375,4.306779299e-08
T_p0,21.875,3.773096076e-08
T_p0,22.65625,2.866298376e-08
T_p0,23.4375,1.962946629e-08
T_p0,24.21875,1.289670036e-08
T_p0,25,8.231212243e-09
T_p0,25.78125,5.129172745e-09
T_p0,26.5625,3.369358359e-09
T_p0,27.34375,2.571082209e-09
T_p0,28.125,2.354139375e-09
T_p0,28.90625,2.33716462e-09
T_p0,29.6875,2.30456307e-09
T_p0,30.46875,2.218789821e-09
T_p0,31.25,1.948087244e-09
T_p0,32.03125,1.670352641e-09
T_p0,32.8125,1.386817913e-09
T_p0,33.59375,1.166857419e-09
T_p0,34.375,9.878466414e-10
T_p0,35.15625,8.605558475e-10
T_p0,35.9375,7.271522321e-10
T_p0,36.71875,6.090961146e-10
T_p0,37.5,4.964183145e-10
T_p0,38.28125,4.13636611e-10
T_p0,39.0625,3.473555263e-10
T_p0,39.84375,3.034091388e-10
T_p0,40.625,2.515894774e-10
T_p0,41.40625,2.109683377e-10
T_p0,42.1875,1.633789146e-10
T_p0,42.96875,1.169448518e-10
T_p0,43.75,9.476140174e-11
T_p0,44.53125,6.995244175e-11
T_p0,45.3125,5.471553179e-11
T_p0,46.09375,3.709493692e-11
T_p0,46.875,2.625656429e-11
T_p0,47.65625,1.15812841e-11
T_p0,48.4375,4.235596611e-12
T_p0,49.21875,1.274041895e-12
T_p0,50,1.221285066e-13
