pair,lag_samples,lag_s,te_bits,surr_mean_bits,surr_p95_bits,excess_te_bits
Ux_1D->T_1D,1,0.01,0.004940758372,0.01865488032,0.02030911445,0
Ux_1D->T_1D,2,0.02,0.005101612118,0.01863977303,0.02039342716,0
Ux_1D->T_1D,3,0.03,0.00526567482,0.0186916694,0.02029179927,0
Ux_1D->T_1D,4,0.04,0.005433052299,0.01881785993,0.02070770287,0
Ux_1D->T_1D,5,0.05,0.005603855622,0.01874424726,0.0205037019,0
Ux_1D->T_1D,6,0.06,0.005778201456,0.01884111212,0.0203460475,0
Ux_1D->T_1D,7,0.07,0.00595621245,0.01883530823,0.02040491142,0
Ux_1D->T_1D,8,0.08,0.006138017653,0.01883600576,0.02059578397,0
Ux_1D->T_1D,9,0.09,0.00632375297,0.01900913553,0.0209178484,0
Ux_1D->T_1D,10,0.1,0.006513561657,0.0189319632,0.02051413212,0
Ux_1D->T_1D,11,0.11,0.01281692707,0.01911102407,0.02084214267,0
Ux_1D->T_1D,12,0.12,0.0134069517,0.01904270227,0.02084401355,0
Ux_1D->T_1D,13,0.13,0.01410126355,0.01933325425,0.02113955157,0
Ux_1D->T_1D,14,0.14,0.01495223831,0.01917153507,0.02088420235,0
Ux_1D->T_1D,15,0.15,0.01606742565,0.01918376978,0.02098261463,0
Ux_1D->T_1D,16,0.16,0.01773564437,0.01928439066,0.02141677658,0
Ux_1D->T_1D,17,0.17,0.007230120451,0.01923506675,0.02072366694,0
Ux_1D->T_1D,18,0.18,0.007441571541,0.01924391815,0.02118628777,0
Ux_1D->T_1D,19,0.19,0.007658076416,0.01934533611,0.02089076596,0
Ux_1D->T_1D,20,0.2,0.007879842715,0.01957863948,0.02150107013,0
Ux_1D->T_1D,21,0.21,0.008107090998,0.019473299,0.02106706803,0
Ux_1D->T_1D,22,0.22,0.00834005584,0.01948674592,0.02132125505,0
Ux_1D->T_1D,23,0.23,0.008578987041,0.01954463293,0.02086877605,0
Ux_1D->T_1D,24,0.24,0.008824150974,0.01955727532,0.02119383145,0
Ux_1D->T_1D,25,0.25,0.00907583208,0.01956102903,0.02134001542,0
Ux_1D->T_1D,26,0.26,0.009334334542,0.01950924532,0.02096499839,0
Ux_1D->T_1D,27,0.27,0.009599984147,0.01967702143,0.02198050245,0
