mode,t=0.5,t=1,t=1.5,t=2,t=2.5,t=3,t=3.5,t=4,t=4.5,t=5,t=5.5,t=6,t=6.5
1,139.9612691,-112.8230947,-199.0865391,-208.8293188,-114.0399441,53.73297983,219.5708719,301.1767054,255.9904882,117.3618097,-74.98523981,-206.2264881,-171.8034996
2,-135.9824979,-199.6768015,-89.51556688,81.93760151,225.5861001,280.1834005,219.6589296,66.99583312,-122.1396188,-228.0640839,-223.4638875,-20.87297006,145.3535617
3,82.87363661,-115.6278627,-26.11902597,77.58078097,53.99327128,-65.64992482,-114.2695251,-11.48200717,102.3083368,38.67234021,-100.7373989,6.195048815,72.26233011
4,57.4055844,13.41164057,-87.40637034,-51.08049952,73.73538467,92.60565911,-25.54891883,-118.5183638,-38.82078045,95.18734637,44.91479799,-77.87335667,21.98787654
5,103.6308679,-29.17709485,54.22519048,13.69824361,-36.52968193,10.84012618,37.35438117,-28.8678494,-58.85964826,-3.71288197,-35.40250488,6.399690237,-33.59883829
6,50.46688438,17.67872489,-37.626909,6.221201229,21.54476497,-50.48546514,0.5958496034,38.89268759,-37.8821872,-51.07878862,39.47087294,-31.80718534,34.0095497
7,25.70935551,11.24129661,30.57557282,-30.6937595,14.72170107,39.35909718,-37.28047411,-11.72560089,47.86610942,-70.81009021,10.54898604,-11.8062973,-17.70589663
8,6.520755756,14.22760045,-38.05562358,26.05251697,-26.11791653,-7.852264249,38.14930536,-47.33413566,35.22183644,-24.65866393,3.603356332,14.37396069,5.869271949
9,-8.313917125,31.96723812,29.48612144,1.720823693,21.43610951,-25.57629356,21.69128758,-14.60825453,10.86681086,4.541084143,-31.37326311,-46.4956318,4.657884786
10,-13.05470969,-39.8106853,18.96937133,30.76492948,-2.633598447,-0.3893044071,7.958905318,-7.011337405,7.565371918,-0.2170637621,42.72656503,-35.0220411,-9.846402965
11,-0.353992996,-27.46463619,13.6034292,-44.47781398,19.87496208,-26.09326529,24.25716351,-16.07912304,6.656632048,-0.5695867423,14.06852151,21.55795977,15.01975013
12,-0.9165170761,-1.356239312,6.95686582,-7.688801339,-23.32397352,7.323551332,-2.128240761,0.5704049865,0.4226972746,0.3525467793,-0.6700199621,-9.053378633,29.51110441
