mode,t=0.5,t=1,t=1.5,t=2,t=2.5,t=3,t=3.5,t=4,t=4.5,t=5,t=5.5,t=6,t=6.5
1,-0.01560391451,-0.01542656064,-0.01542224258,-0.01528285499,-0.01612155455,-0.02005293199,-0.009056491969,0.01844577568,-0.1111802585,-1.054761148,1.080023073,0.28618291,-0.1117438007
2,0.04356251748,0.0435266577,0.04346946777,0.04445786104,0.04519469602,0.04398011366,0.04737632653,0.07265863812,-0.009963307792,-0.7527636116,-0.7913080092,0.4866641073,0.6831445431
3,0.1755421172,0.1755934997,0.1754802627,0.1749805417,0.1718964726,0.1750322379,0.1759410609,0.2037636467,0.03193211949,-0.2819469067,-0.3622459209,0.05318181948,-0.8691509508
4,0.09445223003,0.0942089723,0.09406987919,0.09322963253,0.0950257496,0.09787321328,0.1023713759,0.1201517354,0.1498223901,-0.2914782428,-0.01335920473,-0.8530625232,0.2166947925
5,0.07246607092,0.07245971073,0.0725032075,0.07233378932,0.0725595824,0.07665135687,0.08162978599,0.02058500724,-0.6182721672,0.05149308933,0.01304818366,-0.04920236942,0.06174475271
6,-0.02102918581,-0.02100385318,-0.02093898683,-0.02075513196,-0.02143472349,-0.02316679392,-0.01226132598,0.1418365172,-0.01135346283,0.006672762525,0.0009631818649,0.000457419088,0.002013583362
7,-0.00971160696,-0.00979259189,-0.00960948419,-0.009705143551,-0.009795523442,-0.0009100069377,0.05133767232,-0.002858315122,0.0008388347625,0.0001716672095,-9.127773258e-05,0.0003250220384,-0.0001992465071
8,0.003154045754,0.003215951281,0.003302254395,0.00342610412,0.002833283577,-0.01813049283,0.002675220449,-0.0003724968887,-3.269966592e-05,2.151061402e-05,-4.297573093e-05,-6.223407015e-05,1.25289995e-05
9,0.000376697708,0.0005260400237,0.0004121339126,0.0009847179744,-0.002340140221,5.282048013e-05,-1.104860091e-05,-7.35798124e-06,4.766648728e-07,1.483890638e-07,3.992682084e-07,-2.221472804e-06,7.333855353e-06
10,0.0003628216249,0.0005914743419,0.0001094415777,-0.000894473345,-0.0001659123779,-6.840409035e-06,1.097803655e-06,5.248959944e-07,-9.643278268e-08,8.043664591e-08,-8.821191034e-08,9.585733188e-07,1.011522737e-06
11,0.0004124242481,-0.0005332442012,0.0003142180196,-0.0001365595883,-5.560414218e-05,-2.97052575e-07,-1.310706266e-06,1.774311748e-08,-1.396995903e-08,-2.081249224e-08,3.247478417e-09,1.756887479e-07,2.115257473e-07
12,0.0003439201865,-7.542338676e-06,-0.0004273012767,8.00205343e-05,1.202952184e-05,-2.184758356e-06,1.024803067e-06,4.628654876e-08,-5.120698681e-08,4.769251679e-08,5.90069409e-08,3.752295747e-08,-1.059741445e-07
