mode,singular_value,energy_pct,cum_energy_pct
1,15.11671201,53.23155454,53.23155454
2,11.88856972,32.92408304,86.15563758
3,4.658342574,5.054955269,91.21059285
4,4.072181262,3.862857368,95.07345021
5,3.056634948,2.176414541,97.24986475
6,1.938014048,0.8749199342,98.12478469
7,1.718150766,0.6876651423,98.81244983
8,1.468534341,0.5023688285,99.31481866
9,1.116056401,0.2901527931,99.60497145
10,0.8653988952,0.1744564951,99.77942795
11,0.7854975502,0.1437289127,99.92315686
12,0.5743482671,0.07684313956,100
