mode,t=0.5,t=1,t=1.5,t=2,t=2.5,t=3,t=3.5,t=4,t=4.5,t=5,t=5.5,t=6,t=6.5
1,-4.469050804,0.519703333,4.321027822,5.436621018,3.851743073,0.6175716207,-3.066546201,-5.741491334,-6.330790816,-4.725519966,0.6934353389,4.339575353,4.553721563
2,1.708148843,4.695590423,2.801300136,-0.6995247939,-3.641095737,-5.107754883,-4.760427417,-2.717922053,0.3563730313,3.121144224,4.691542855,1.601200867,-2.048575495
3,-2.354200848,1.192035989,1.124405488,-0.6511619246,-1.270963414,0.1311263544,1.92458018,1.575581611,-0.6670654552,-1.2893435,1.089052136,0.4960226622,-1.300069279
4,-1.511080461,-0.9328689677,0.630618992,1.197038336,-0.1436005225,-1.757787989,-0.9127828615,1.387082627,1.999735852,0.02011240475,-1.059303708,0.6489365639,0.4338997355
5,-1.966505179,0.5595248632,-0.7004402982,-0.3170542209,0.7410943704,0.6505050695,-0.3248877509,-0.5412357944,0.4201489155,1.539769196,0.4191321803,-0.6657543766,0.1857030245
6,-0.06020498037,-0.3170287907,0.8936459124,0.3084753674,-0.5279542869,0.3883506594,0.4641342408,-0.6238427229,-0.08528357544,0.8391247925,-0.8459646346,0.1017500736,-0.5352020552
7,0.1099446003,0.9105906801,0.5001498203,0.1195099232,0.2428515139,0.2745138544,-0.367748133,0.007508410894,0.3933721162,-0.5491546699,-0.5704688332,-0.8682317579,-0.2028375253
8,0.03668748973,0.3821641687,-0.270985105,0.6088196692,-0.024440836,-0.6338738763,0.3939566049,0.2856685384,-0.6671460456,0.3827295748,-0.2304224157,-0.4827308002,0.219573033
9,0.01440843938,-0.5409553916,0.386305974,0.2329292734,0.1144877183,-0.001558554849,-0.0521753554,0.08008454226,-0.04291822436,0.008866508697,0.5658521448,-0.6193442578,-0.1459828167
10,0.02201889369,-0.05170758479,0.3356756359,-0.4870700285,0.3759908796,-0.1545908521,-0.1166304117,0.2631126693,-0.2814471349,0.1884209626,-0.1729000205,0.04080597757,0.03832101373
11,-0.02230093667,-0.007694808166,0.1572542256,-0.2544725045,-0.07065117028,-0.241709054,0.3418108747,-0.3000205898,0.203950676,-0.08833886567,0.02363787618,-0.165117356,0.4236516325
12,0.01544378967,0.01233145811,-0.05549411835,0.04533540698,0.3289565259,-0.2037244018,0.1856825503,-0.1622757881,0.1008570764,-0.05254951976,0.01656695665,0.07666458458,-0.3077945207
