metric,value
n_times,1601.0
n_x_bins,80.0
n_valid_x_bins_z_min,61.0
n_valid_x_bins_z_max,61.0
Nu_mean_z_min,4.5669215694095735
Nu_mean_z_max,4.541199580435455
Nu_rms_z_min_mean,0.04823820610363743
Nu_rms_z_max_mean,0.04984424913056924
A1_z_min_mean,0.013569087388618546
A1_z_max_mean,0.013022996636512912
A2_z_min_mean,0.00950372907355156
A2_z_max_mean,0.011093444824465696
mean_abs_antisymmetric_Nu,0.014798866082773254
mean_fin_pair_corr,0.8579344363986242
mean_coherence_z_min,0.60551446818761
mean_coherence_z_max,0.6132577220185664
active_fraction_z_min,0.5081967213114754
active_fraction_z_max,0.4918032786885246
median_lag_z_min_s,-0.0749999999999984
median_lag_z_max_s,-0.0749999999999984
phase1_z_max_minus_z_min_deg,-3.326004020753593
median_lag_z_max_minus_z_min_s,0.0
