pod_set,mode,signal,corr
U,1,Cd,-0.8503384761974769
U,1,Cl,-0.5898823053895391
U,1,Q_wall,-0.05582357987354676
U,1,Nu_tube,-0.250664602227336
U,1,Nu_fins,-0.2916665805966188
U,2,Cd,-0.34731343325291963
U,2,Cl,-0.7928495286993762
U,2,Q_wall,-0.2760453904093686
U,2,Nu_tube,-0.22695666250917834
U,2,Nu_fins,-0.4192034765737183
U,3,Cd,-0.09728872702081742
U,3,Cl,-0.0017006363355660786
U,3,Q_wall,0.025570198354399092
U,3,Nu_tube,0.004522174056011399
U,3,Nu_fins,0.009244562367920418
U,4,Cd,-0.010346197049968553
U,4,Cl,-0.0377403968534765
U,4,Q_wall,0.05135026688846681
U,4,Nu_tube,-0.02084681301524206
U,4,Nu_fins,-0.020533314842501246
U,5,Cd,-0.21754627200155022
U,5,Cl,-0.07196782532420512
U,5,Q_wall,-0.5566190897943368
U,5,Nu_tube,-0.050847899612113834
U,5,Nu_fins,0.016965446328484606
U,6,Cd,-0.13400578726701637
U,6,Cl,-0.018652169027379522
U,6,Q_wall,0.13832842497839729
U,6,Nu_tube,-0.10648512153986377
U,6,Nu_fins,-0.11602534577049287
T,1,Cd,-0.8096818166121844
T,1,Cl,-0.9865058805042772
T,1,Q_wall,-0.2411854492797196
T,1,Nu_tube,-0.33409347962727065
T,1,Nu_fins,-0.5082783550984475
T,2,Cd,-0.4389800530958989
T,2,Cl,0.04267572435376207
T,2,Q_wall,0.13996900374165
T,2,Nu_tube,-0.05491005698579655
T,2,Nu_fins,0.031064944413078638
T,3,Cd,-0.03241435179259106
T,3,Cl,-0.019070930537144665
T,3,Q_wall,-0.06618554338591372
T,3,Nu_tube,-0.00864325037592367
T,3,Nu_fins,-0.018812908156405246
T,4,Cd,0.06122366928134055
T,4,Cl,-0.0074712352574695
T,4,Q_wall,-0.03146743047581069
T,4,Nu_tube,0.0020940109684507097
T,4,Nu_fins,0.0022152496451565175
T,5,Cd,-0.26317453505224364
T,5,Cl,-0.05363185541027156
T,5,Q_wall,-0.6753863567167241
T,5,Nu_tube,-0.00016858009463807043
T,5,Nu_fins,0.1173243939198408
T,6,Cd,0.0893032342700204
T,6,Cl,0.045576625775238216
T,6,Q_wall,0.3958675917253476
T,6,Nu_tube,0.27824516613826483
T,6,Nu_fins,0.2313436015831547
U+T,1,Cd,-0.8499605319353251
U+T,1,Cl,-0.9780962163840554
U+T,1,Q_wall,-0.2314973312690671
U+T,1,Nu_tube,-0.33824238952776625
U+T,1,Nu_fins,-0.502885187764758
U+T,2,Cd,-0.35308166258985657
U+T,2,Cl,0.1463362071773724
U+T,2,Q_wall,0.15903970597828665
U+T,2,Nu_tube,-0.016974765644364904
U+T,2,Nu_fins,0.08940518854443981
U+T,3,Cd,-0.04952714703979808
U+T,3,Cl,-0.015835583182111836
U+T,3,Q_wall,0.06356065134634922
U+T,3,Nu_tube,-0.008638811547334369
U+T,3,Nu_fins,-0.004519032014833639
U+T,4,Cd,0.07118284060620922
U+T,4,Cl,-0.011710658722181935
U+T,4,Q_wall,0.009371106405097722
U+T,4,Nu_tube,-0.006464998259383751
U+T,4,Nu_fins,-0.006218807222405871
U+T,5,Cd,-0.24337293331348214
U+T,5,Cl,-0.0683795370125981
U+T,5,Q_wall,-0.623004591140444
U+T,5,Nu_tube,-0.037759950880628106
U+T,5,Nu_fins,0.051668453390810214
U+T,6,Cd,-0.09559116704912012
U+T,6,Cl,0.0003886812428327601
U+T,6,Q_wall,0.15859849930464223
U+T,6,Nu_tube,-0.03925582555745545
U+T,6,Nu_fins,-0.05107347134285776
