pair,source,target,category,lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,excess_over_p95_bits,z_score,p_empirical,significant_p95,significant_p99,side,x_m,x_mm
Cl->fin_z_min_xbin_01,Cl,fin_z_min_xbin_01,fin_x_bin,0.0799999999999983,0.20033835201654304,0.054495288729720225,0.09434881339848918,0.11661753819572673,0.10598953861805387,6.87871296031473,0.006211180124223602,True,True,fin_z_min,-0.01236928375,-12.36928375
Cl->fin_z_min_xbin_02,Cl,fin_z_min_xbin_02,fin_x_bin,0.0799999999999983,0.20040122490838685,0.05493381878448232,0.1055692088019948,0.11845326003493091,0.09483201610639205,6.406843061924737,0.006211180124223602,True,True,fin_z_min,-0.00830208,-8.30208
Cl->fin_z_min_xbin_03,Cl,fin_z_min_xbin_03,fin_x_bin,0.0799999999999983,0.20447401023789796,0.05845393906421694,0.10563528625171999,0.1433541850082096,0.09883872398617798,5.471531402656884,0.006211180124223602,True,True,fin_z_min,-0.005879065,-5.879065
Cl->fin_z_min_xbin_04,Cl,fin_z_min_xbin_04,fin_x_bin,0.03999999999999915,0.27553013516080094,0.07549319903114837,0.18402670627154258,0.21208001676370483,0.09150342888925836,4.099469256042216,0.006211180124223602,True,True,fin_z_min,-0.004494485,-4.494485
Cl->fin_z_min_xbin_05,Cl,fin_z_min_xbin_05,fin_x_bin,0.0799999999999983,0.20828121199783844,0.058373727171923816,0.119621960938542,0.1430254244271322,0.08865925105929645,5.751102463145843,0.006211180124223602,True,True,fin_z_min,-0.0031099050000000005,-3.1099050000000004
Cl->fin_z_min_xbin_06,Cl,fin_z_min_xbin_06,fin_x_bin,0.03999999999999915,0.2806584111117771,0.0744094585134135,0.18611114324872774,0.22752679874250645,0.09454726786304934,4.00700740061572,0.006211180124223602,True,True,fin_z_min,-0.0017253250000000006,-1.7253250000000007
Cl->fin_z_min_xbin_07,Cl,fin_z_min_xbin_07,fin_x_bin,0.0799999999999983,0.20831817995317073,0.05652705758233685,0.10780548114263697,0.13187182651254176,0.10051269881053376,6.111381989289024,0.006211180124223602,True,True,fin_z_min,-0.0003407450000000008,-0.3407450000000008
Cl->fin_z_min_xbin_08,Cl,fin_z_min_xbin_08,fin_x_bin,0.0799999999999983,0.21856874953815245,0.059172891473298114,0.11492039634667574,0.14280580811159846,0.10364835319147671,6.01431200150847,0.006211180124223602,True,True,fin_z_min,0.001043834999999999,1.043834999999999
Cl->fin_z_min_xbin_09,Cl,fin_z_min_xbin_09,fin_x_bin,0.0799999999999983,0.2241495507476819,0.056671078453869796,0.1098231022884066,0.12943976570248736,0.1143264484592753,6.731308439204142,0.006211180124223602,True,True,fin_z_min,0.0024284149999999993,2.4284149999999993
Cl->fin_z_min_xbin_10,Cl,fin_z_min_xbin_10,fin_x_bin,0.0799999999999983,0.2407387800620482,0.05771967212397826,0.11465398233366512,0.15743844124964892,0.1260847977283831,6.353891341473283,0.006211180124223602,True,True,fin_z_min,0.0038129949999999983,3.812994999999998
