pair,source,target,category,lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,excess_over_p95_bits,z_score,p_empirical,significant_p95,significant_p99
Cl->Q_wall,Cl,Q_wall,global,0.23999999999999488,0.23675922203929847,0.10195199864439004,0.13448240636248268,0.14480508479116813,0.10227681567681579,6.330622187374196,0.00398406374501992,True,True
Q_wall->Cl,Q_wall,Cl,global,0.0799999999999983,0.04866962295089486,0.019634413001094614,0.03524005700907128,0.04168577757084089,0.013429565941823582,3.4085981896660935,0.00796812749003984,True,True
Cl->Q_tube,Cl,Q_tube,global,0.0799999999999983,0.3769134789107594,0.0865306487501978,0.19220157195327936,0.22337804196563904,0.18471190695748002,6.295257708075294,0.00398406374501992,True,True
Q_tube->Cl,Q_tube,Cl,global,0.0799999999999983,0.05214692308736557,0.016962565603307275,0.030406835435438696,0.040221883146410536,0.021740087651926875,4.727399987988003,0.00398406374501992,True,True
Cl->Q_fins,Cl,Q_fins,global,0.23999999999999488,0.45185811843867973,0.13149149598997412,0.18095517948396098,0.20138861180801262,0.27090293895471873,11.77125300562828,0.00398406374501992,True,True
Q_fins->Cl,Q_fins,Cl,global,0.0799999999999983,0.04484699546231581,0.03320275323471601,0.053642773614201694,0.0642064698087723,-0.008795778151885883,0.9237770814787912,0.17928286852589642,False,False
Cl->Nu_tube,Cl,Nu_tube,global,0.23999999999999488,0.1413261509651956,0.04849664428991538,0.06705482195187044,0.07112200706793917,0.07427132901332516,9.811147558434504,0.00398406374501992,True,True
Nu_tube->Cl,Nu_tube,Cl,global,0.3199999999999932,0.054727234640701505,0.018937170217544624,0.025062340252688324,0.027513772062450606,0.02966489438801318,10.035936028774744,0.00398406374501992,True,True
Cl->Nu_fins,Cl,Nu_fins,global,0.23999999999999488,0.17388333625932859,0.04861882786107385,0.06393359445937899,0.07096311105652359,0.1099497417999496,12.832967171044858,0.00398406374501992,True,True
Nu_fins->Cl,Nu_fins,Cl,global,0.3199999999999932,0.06510024718239099,0.029214663721435403,0.04256848738238975,0.04626610911437582,0.022531759800001244,4.377893886441817,0.00398406374501992,True,True
Cl->Nu_EB,Cl,Nu_EB,global,0.05999999999999872,0.2602087345189868,0.06675296485146487,0.1483812121711275,0.1751144460982785,0.11182752234785928,5.239746999077379,0.00398406374501992,True,True
Nu_EB->Cl,Nu_EB,Cl,global,0.3199999999999932,0.0718666789612085,0.018924065249973282,0.02693317249000521,0.02996287777806912,0.0449335064712033,11.69823338839521,0.00398406374501992,True,True
Cl->POD_U_1,Cl,POD_U_1,modal,0.3200000000000003,0.5840110247279068,0.12075166331056629,0.20041734836821523,0.21632082776876232,0.38359367635969155,8.69397852191952,0.00398406374501992,True,True
