event,phase_bin,phase_deg,value,lag_from_abs_cl_max_deg,lag_from_abs_cl_max_s
Cl_max,12,281.25,2.585784861392405,45.0,0.03812486656296703
Cl_min,10,236.25,2.423238404634146,0.0,0.0
Cl_zero_down,0,11.25,2.5148173267045455,135.0,0.11437459968890108
Cl_zero_up,3,78.75,2.5167295227333333,-157.5,-0.1334370329703846
Q_wall_max,13,303.75,1.4815962443303572,67.5,0.05718729984445054
Q_tube_max,10,236.25,0.3620427712317073,0.0,0.0
Q_fins_max,13,303.75,1.1196088398214286,67.5,0.05718729984445054
Nu_tube_wall_max,5,123.74999999999999,8.458564365090178,-112.50000000000001,-0.09531216640741759
Nu_fins_wall_max,5,123.74999999999999,7.660065133047254,-112.50000000000001,-0.09531216640741759
Nu_EB_max,5,123.74999999999999,7.954008339439078,-112.50000000000001,-0.09531216640741759
