phase_bin,phase_deg,count,Cl,Cl_std,Cd,Cd_std,Cm,Cm_std,Q_wall,Q_wall_std,Q_tube,Q_tube_std,Q_fins,Q_fins_std,Nu_tube_wall,Nu_tube_wall_std,Nu_fins_wall,Nu_fins_wall_std,Nu_EB,Nu_EB_std
0,11.25,88,2.5148173267045455,0.18922864391436858,3.3604599850000003,0.005720715486995042,1.2656558539772726,0.09437152322210622,1.4807552320454547,0.0021049186693980486,0.36184507614772726,0.0012691161603927857,1.1189101558977272,0.0012990522994365795,8.428162695901303,0.05754297899661908,7.6286268245950675,0.059504221572077784,7.715083513375633,0.4102141950931535
1,33.75,90,2.5062370677777777,0.1526971653981099,3.3606217092222224,0.006292284874383367,1.2612506883333332,0.07631424954274113,1.4805052444333333,0.0019533756758291524,0.36186053511111116,0.001162037013204185,1.1186447093222225,0.0011443883719379742,8.437495471978167,0.04738531588771446,7.634909779451104,0.04863379490858153,7.773756512876086,0.3338004265728808
2,56.25,126,2.499636713492063,0.15332634356365965,3.359780004761905,0.007408257523472232,1.2578546674603175,0.07583651862480925,1.4802290384126986,0.0020834640823860556,0.3617410484285714,0.0008469606703249481,1.1184879899841271,0.001511358171958908,8.450583708692072,0.04068430936343057,7.648151749359999,0.03690136465338538,7.876140970039324,0.24950640131542173
3,78.75,150,2.5167295227333333,0.19381798455733884,3.360781906533333,0.006989063163084345,1.2663481763333335,0.09655937351488955,1.4802546416666666,0.0024139341323789667,0.36165847704,0.0007347494851352898,1.1185961646266667,0.0020035934981549298,8.447814259336571,0.04710195604302957,7.648140037382494,0.04615406783248216,7.870822667366213,0.29130190613967977
4,101.25,153,2.4963718701307185,0.17094063749639604,3.3608372409803926,0.006170595767919868,1.2562522645751633,0.08540671939988172,1.480485756130719,0.0026578980705512104,0.3618066050326798,0.0009204010114937639,1.1186791510980394,0.0020641266541365365,8.453007286623695,0.061958131128390534,7.650308742089394,0.061883721528198384,7.881646516402866,0.4361511208056147
5,123.74999999999999,122,2.548489450983607,0.14847616960765186,3.3630156017213118,0.006721479552387377,1.2818491809016395,0.07376588030813597,1.4801616897622951,0.0026746533532039313,0.36155815991803275,0.0009591465697164263,1.1186035298442625,0.0019635195144766296,8.458564365090178,0.05032466497189726,7.660065133047254,0.049792228110951,7.954008339439078,0.3549713007893035
6,146.25,92,2.582733852173913,0.18095640057004167,3.3625508958695662,0.007585638193465106,1.299498990978261,0.08977274147170095,1.480790818902174,0.0031869524805676055,0.36149432919565216,0.000982466817038646,1.1192964897065216,0.0023401635231671985,8.44586064585835,0.055279170273605675,7.654662964457697,0.05627197873857939,7.881765854497495,0.3859260199064912
7,168.75,89,2.5264755702247186,0.17901496073324735,3.360291421235955,0.006098135504293267,1.272007187191011,0.08947070188436208,1.4806645300561798,0.0032184667727179553,0.3615540989213483,0.001009240391875982,1.1191104311348314,0.0024142487482107697,8.41842223856114,0.06268882461082172,7.627279187057801,0.06385525888243065,7.696759874123149,0.42963473676286906
8,191.25,81,2.454541140617284,0.13862193758830976,3.358433993456791,0.00547307352453951,1.235967274197531,0.06906582180710534,1.48054616545679,0.0028565284505095954,0.36176006376543207,0.0010900508302603155,1.1187861016913578,0.0019620533426395136,8.400968924793084,0.06678162775177685,7.604886220933743,0.06078281712023682,7.55358519717522,0.4263371406895468
9,213.75,81,2.4346509372839504,0.18982687169874934,3.358650609753087,0.006828098087517108,1.2256511532098764,0.09432984131374814,1.480595447567901,0.002824901904061743,0.3618814514814815,0.0010916708106345548,1.1187139960864199,0.002151220434696969,8.397621984644287,0.0755370714281495,7.598810706129289,0.0681816348117352,7.513116030273748,0.46458906811603284
10,236.25,82,2.423238404634146,0.15558827306485012,3.3595948124390254,0.006444927326168749,1.2194821674390244,0.07751417143680665,1.4805573294390242,0.002711951837807831,0.3620427712317073,0.0011000986213351605,1.118514558207317,0.002018163539970119,8.4111061901382,0.08414237011732624,7.606294671749985,0.07872862916960749,7.574425095766771,0.5280883457290385
11,258.75,72,2.4845810216666666,0.17939569006860195,3.3622185623611114,0.007902615775629757,1.2493850106944444,0.08905122340543127,1.480707887736111,0.0027800801816004763,0.3620052428194444,0.0010729412219571636,1.1187026449166666,0.002135151510836393,8.423769567398589,0.07883025946939198,7.6198765580392624,0.08043436730497514,7.661278051633726,0.5201265813791646
