run_id,date,Re,mesh_cells,Lin_D,Lout_D,bg_cell_mm_xy,refine_lvl_tube,BL_layers_tube,BL_layers_fin,first_BL_um,BL_coverage_tube_pct,max_nonortho,avg_nonortho,max_skewness,max_aspect,n_small_det,n_concave,t_end_s,t_avg_start_s,Nu_tube_snGrad,Nu_fin_zmin_snGrad,Nu_fin_zmax_snGrad,Nu_total_snGrad,Nu_total_EB_LMTD,Cd_mean,Cl_rms,St_Cl,dp_mean_Pa,T_out_K,T_min_K,T_max_K,Q_total_W,probe_wake_ok,midspan_slices_ok,circ_Nu_profile_ok,notes
run001,2026-04-22,100,337184,2.0,5.0,1.0,2,8,6,30,39.7,64.87,6.34,0.861,33.4,416,9524,5,5,4.52,4.80,4.80,4.73,7.054,4.00,0,N/A,0.0378,313.281,292.37,343.15,1.1777,yes,yes,no,STEADY; Ri=1.26; Cd=4.0 blockage β=0.375; BL_tube 39.7%; T_min<T_in 0.8K (numerical artefact); 8-core 98min wall; Nu_snGrad T_bulk ref inferred (consistent with run002 fin +2%); Nu_EB=Q*Cp*dT+LMTD+A_total
run002,2026-04-26,100,1840178,2.0,5.0,1.0,3,0,6,30,0.0,57.11,4.51,1.057,33.4,0,34825,2.9,2.0,4.06,4.90,4.90,4.28,6.955,3.9974,0,N/A,N/A,313.306,293.15,343.15,1.1792,yes,yes,no,STEADY; lvl-3 (0.125mm xy 0.029mm z) y+~0.5 no explicit BL; dCd=-0.07% vs run001 CONVERGED; dNu_EB=-1.4% CONVERGED; near-wake Ux 1D/2D 10-20% diff; T_out=313.31K; wallHeatFlux N/A (Boussinesq); 8-core ~45h wall (swapping episodes); A_tube_meshed=4.84e-4 (+7% vs analytical — snappy lvl-3 artifact); Nu_snGrad=filt.mean T_bulk; tube scatter IQR[2661-29141 K/m] 9.2% outliers excl (no BL); fin IQR[6879-22033 K/m] 2.0% outliers excl; dNu_fin_snGrad=+2.1% vs run001 CONSISTENT
run003,2026-04-29,200,337184,2.0,5.0,1.0,2,8,6,30,39.7,64.87,6.34,0.861,33.4,416,9524,6.505,N/A,N/A,N/A,N/A,N/A,7.476,3.161,0.187,0.1484,N/A,305.26,N/A,343.15,1.417,yes,yes,no,PERIODIC; Re=200 on medium/lvl-2 mesh from run001; solver stopped at t=6.505s of 10.0s target (65%); wall ~6.7h ClockTime=24091s 8 cores; f_shed=3.125Hz from Cl; St=fD/U=0.1484 for D=12mm U=0.25267m/s; Cl_mean buoyancy=2.52; Ri=0.314; Cd -21% vs run002; T_out -8.05K vs run002; Nu_EB=7.476 via EB+LMTD; Min9 label not found in repo/logs/postProcessing
run004b,2026-05-06,200,407440,2.0,8.0,1.0,2,8,6,30,81.1,62.84,5.93,3.319,33.64,N/A,9178,6,3,N/A,N/A,N/A,N/A,7.778,3.361,0.184,0.1552,N/A,305.682,N/A,343.15,1.472,yes,no,no,PERIODIC; controlled Lout=8D outlet candidate; BL tube avg 7.19/8 fins avg 3.8/6; completed t=6 ClockTime=30720s on 20 ranks; f_shed=3.267Hz; Cl_mean=2.514; Nu_EB t3-6=7.778; outlet differs from 5D but matches 16D
run004c,2026-05-06,200,462736,2.0,16.0,1.0,2,8,6,30,81.1,62.84,5.58,3.319,33.64,N/A,9178,6,3,N/A,N/A,N/A,N/A,7.803,3.361,0.182,0.1546,N/A,305.720,N/A,343.15,1.477,yes,no,no,PERIODIC; controlled Lout=16D outlet check; same wake and BL strategy as run004b; completed t=6 ClockTime=42217s on 20 ranks; 16D vs 8D Cd -0.01 percent St -0.40 percent Nu +0.32 percent; outlet sensitivity closed and Lout=8D accepted
run005,2026-05-07,200,421264,4.0,8.0,1.0,2,8,6,30,81.1,62.84,5.84,3.319,33.64,N/A,9178,6,3,N/A,N/A,N/A,N/A,7.776,3.359,0.185,0.1552,N/A,305.680,N/A,343.15,1.472,yes,no,no,PERIODIC; controlled Lin=4D inlet check against run004b Lin=2D Lout=8D; completed t=6 ClockTime=33469s on 20 ranks; f_shed=3.268Hz; Cl_mean=2.518; Lin=4D vs 2D Cd -0.07 percent St +0.02 percent Nu -0.03 percent; inlet sensitivity closed and Lin=2D accepted
run006a,2026-05-07,200,407440,2.0,8.0,1.0,2,8,6,30,81.1,62.84,5.93,3.319,33.64,N/A,9178,2.616,0.5,N/A,N/A,N/A,N/A,7.7226,3.36227,0.19006,0.15405,N/A,305.598,N/A,343.15,1.46235,yes,no,no,PARTIAL timestep check; maxCo=0.4 vs run004b maxCo=0.8; user-stopped before target t=6 at about t=2.616 ClockTime=26343s; matched window 0.5-2.6s gives Cd +0.01 percent Cl_rms -0.33 percent St -0.07 percent Nu -0.03 percent vs run004b; indicative partial check only because t=3-6 window unavailable
run006b,2026-05-08,200,407440,2.0,8.0,1.0,2,8,6,30,81.1,62.84,5.93,3.319,33.64,N/A,9178,2,0.5,N/A,N/A,N/A,N/A,7.7339,3.36122,0.17697,0.15464,N/A,305.616,N/A,343.15,1.46442,yes,no,no,SHORT maxCo=1.0 smoke test; completed t=2 ClockTime=8194s on 20 ranks; matched window 0.5-2s vs run004b maxCo=0.8 gives Cd +0.00 percent Cl_rms +0.15 percent St +0.07 percent Nu +0.01 percent; stable but maxCo=0.8 remains conservative production default
run007a,2026-05-08,200,407440,2.0,8.0,1.0,2,8,6,30,81.1,62.84,5.93,3.319,33.64,N/A,9178,2,0.5,N/A,N/A,N/A,N/A,10.2249,3.47362,0.17898,0.15407,N/A,308.934,N/A,343.15,1.85341,yes,no,no,SHORT variable-property physics check; incompressiblePerfectGas+Sutherland; completed t=2 ClockTime=9932s on 20 ranks; matched window 0.5-2s vs run004b gives Cd +3.34 percent Cl_rms +1.29 percent St -0.30 percent T_out +3.319K Q +26.57 percent Nu +32.22 percent; extend to t=6 before final production conclusion
run007c,2026-05-08,200,407440,2.0,8.0,1.0,2,8,6,30,81.1,62.84,5.93,3.319,33.64,N/A,9178,2,0.5,N/A,N/A,N/A,N/A,7.731,3.36121,0.17670,N/A,N/A,305.594,N/A,343.15,1.4621,yes,no,no,SHORT constant-property capacity=1005 diagnostic; eConst+Boussinesq same as run004b but Cv coefficient set to 1005; completed t=2 ClockTime=10209s on 20 ranks; force window 0.5-2s matches run004b; Q_air_case=1.462W Nu_air_case=7.731; Q_wall=1.482W Nu_wall_case=7.822; wall-air closure +1.4 percent; shows apparent Nu jump is mainly Cv/Cp/k consistency not variable-property effect
